,Page URL,Name,Description,Amount
18,https://www.rockefellerfoundation.org/grant/grant-2020-410/,Ellen Johnson Sirleaf Presidential Foundation 2020,toward the costs of activities to advance and sustain efforts to bolster women’s political and social development on the African continent,"$250,000"
19,https://www.rockefellerfoundation.org/grant/grant-2020-348/,American Heart Association 2020,"in support of facilitating local, tribal, and state level campaigns to improve the nutritional quality of school food and equitably expand school food access to underprivileged children","$300,000"
21,https://www.rockefellerfoundation.org/grant/grant-2020-321/,"Rising Tide Capital, Inc. 2020","toward the costs of providing technical assistance, coaching, and business support services for low-income Black and Latinx entrepreneurs in Newark, N.J","$200,000"
22,https://www.rockefellerfoundation.org/grant/grant-2020-323/,Hispanics in Philanthropy 2020,"toward the costs of an effort to increase the skills and capacity of Latinx small businesses in Miami, Florida and El Paso, Texas by providing technical assistance and increased access to capital","$375,000"
23,https://www.rockefellerfoundation.org/grant/grant-2020-338/,Black Business Community Development Corporation 2020,for use by its project the African American Alliance of CDFI CEOs toward the costs of a coalition committed to the support and growth of Black executives leading community development financial institutions ,"$75,000"
24,https://www.rockefellerfoundation.org/grant/grant-2020-339/,"RF Catalytic Capital, Inc. 2020","toward the costs of developing standardized methods, kits, and data platforms for mass spectrometry analyses that will subsequently build the foundation for a comprehensive molecular map of the food system","$1,750,000"
25,https://www.rockefellerfoundation.org/grant/grant-2020-333/,"The Beacon Council Economic Development Foundation, Inc. 2020",in support of providing a technical assistance program for Black- and Latinx-owned small- and microbusinesses in Miami-Dade County in an effort to accelerate the community’s economic recovery from the COVID-19 crisis,"$350,000"
26,https://www.rockefellerfoundation.org/grant/grant-2020-334/,PolicyLink 2020,"for use by its Black Future Opportunity Inc. project toward the costs of two prize competitions for aspiring entrepreneurs at historically Black colleges and universities, and a broader base of diverse entrepreneurs, including people of color, women, and LGBTQ+ individuals, to help break down barriers often faced by marginalized communities to launching and building their businesses","$500,000"
27,https://www.rockefellerfoundation.org/grant/grant-2020-347/,Tufts University 2020,for use by its Friedman School of Nutrition Science and Policy in support of gathering and presenting evidence on the need for the advancement of nutrition science and programming in the United States,"$499,961"
28,https://www.rockefellerfoundation.org/grant/grant-2020-319/,"Foundation for Business Equity, Inc. 2020","toward the costs of providing business advisory programming and financing access for Black and Latinx-owned businesses in Boston, MA","$350,000"
29,https://www.rockefellerfoundation.org/grant/grant-power-for-all-2020/,Power for All 2020,"in support of building national coalitions in 2-3 countries to advance healthcare electrification with decentralized renewable energy, and in general support of its mission to advance renewable, decentralized electrification solutions by  means of the fastest, most cost-effective and sustainable approach to universal energy access","$150,000"
30,https://www.rockefellerfoundation.org/grant/grant-2020-378/,Foundation for Innovative New Diagnostics 2020,in support of expanding access and deployment of rapid diagnostic testing for COVID-19 in low- and middle-income countries,"$10,000,000"
31,https://www.rockefellerfoundation.org/grant/grant-2020-308/,Allied Media Projects 2020,in support of a set of video dispatches documenting the effect of rising Great Lakes levels on Black and Latinx communities in the Midwest,"$75,000"
32,https://www.rockefellerfoundation.org/grant/grant-2020-330/,"The Community Foundation of Louisville, Inc. 2020","for use by its Louisville Metro Government Office of Civic Innovation project toward the costs of the Louisville Rapid Upskilling Initiative, an effort to prepare a cohort of workers in Louisville, KY, who have been displaced or are in fear of being displaced as a result of the COVID-19 pandemic, for in demand, entry-level jobs in the data economy","$100,000"
33,https://www.rockefellerfoundation.org/grant/grant-2020-310/,RadicalxChange Foundation Ltd. 2020,in support of developing digital identification and novel technology tools to increase civic participation,"$74,943"
34,https://www.rockefellerfoundation.org/grant/grant-2020-331/,"Fund for the Arts, Inc. 2020","toward the costs of providing immediate funds to keep Black-owned restaurants in Louisville, KY open and in a position to stabilize during the COVID-19 pandemic","$50,000"
35,https://www.rockefellerfoundation.org/grant/grant-2020-306/,Economic Development Authority of the City of Norfolk 2020,"in support of providing technical assistance to Black- and Latinx-owned microbusinesses in Norfolk, VA to help them strengthen their businesses and attract more investment capital ","$225,000"
36,https://www.rockefellerfoundation.org/grant/grant-2020-376/,Inte,In support of establishing sub-regional peer-to-peer information sharing networks that enable countries and/or states with shared socio-economic characteristics in Latin America to share innovative and effective testing and tracing solutions to respond to the COVID-19 pandemic,"$450,000"
37,https://www.rockefellerfoundation.org/grant/grant-2020-345/,Tufts University 2020,"for use by its Friedman School of Nutrition Science and Policy, toward the costs of advancing research on the impact of healthy food prescription programs on food insecure populations","$500,000"
38,https://www.rockefellerfoundation.org/grant/grant-meridian-institute-2020-4/,Meridian Institute 2020,To support the development of datasets that reduce existing racial inequities in the performance of machine learning algorithms,"$250,000"
39,https://www.rockefellerfoundation.org/grant/grant-2020-300/,"Just Community, Inc. 2020",in support of expanding its operations to El Paso and Houston and establishing a loan fund to provide low-income Latina entrepreneurs and business owners in these cities with improved access to capital ,"$300,000"
42,https://www.rockefellerfoundation.org/grant/grant-2020-303/,Partnership for Southern Equity 2020,"in support of developing an ecosystem of local leadership, consisting of small Black, Latinx, and minority-owned businesses and organizations, to participate in strategic planning and education on policy and tools that effectively respond to gaps in the local entrepreneurial ecosystem within the metro Atlanta region","$225,000"
43,https://www.rockefellerfoundation.org/grant/grant-2020-304/,"The Community Foundation of Greater Atlanta, Inc. 2020",for use by its Our Village United project in support of providing technical assistance to Black-owned small businesses in Atlanta and building its organizational capacity,"$500,000"
44,https://www.rockefellerfoundation.org/grant/grant-accelerate-500-inc-2020-2/,Accelerate 500 Inc. 2020,"toward the costs of providing targeted, competitive capital with contextual technical assistance to Latinx and Black entrepreneurs in cities across the U.S. to help them navigate uncertainty related to the COVID-19 pandemic and to overcome persistent structural barriers related to race and gender","$1,000,000"
45,https://www.rockefellerfoundation.org/grant/grant-2020-307/,Girl Effect 2020,"in support of establishing a proof of concept and developing an implementation plan to distribute a COVID-19 vaccine in the community of Kibera in Nairobi, Kenya ","$74,981"
46,https://www.rockefellerfoundation.org/grant/grant-2020-301/,Academy of Music Production Education and Development 2020,"toward the costs of establishing a small business incubator to provide technical assistance to the underserved and underrepresented Black and Latinx technology businesses and entrepreneurs in the Russell neighborhood of Louisville, Kentucky","$500,000"
47,https://www.rockefellerfoundation.org/grant/grant-2020-408/,Smithsonian Institution 2020,"in support of the online component of its National Museum of African American History &amp; Culture's exhibition, ""Make Good the Promises: Reconstruction and Its Legacies""","$250,000"
48,https://www.rockefellerfoundation.org/grant/grant-2020-337/,"Joint Center for Political and Economic Studies, Inc. 2020","toward the costs of conducting research to identify challenges faced by businesses in the U.S. owned by people of color in the wake of the COVID-19 pandemic, and to identify and educate the community on potential solutions ","$500,000"
49,https://www.rockefellerfoundation.org/grant/grant-2020-335/,National Domestic Workers Alliance 2020,"toward the costs of scaling U.S. domestic worker access to benefits, relief assistance, and services to help them weather the current economic crisis and improve their economic mobility","$2,000,000"
50,https://www.rockefellerfoundation.org/grant/grant-2020-373/,Massachusetts Institute of Technology 2020,in support of its Technology Review’s examination of digital contact tracing initiatives and other innovative upcoming technologies being developed to fight the COVID-19 pandemic ,"$465,000"
51,https://www.rockefellerfoundation.org/grant/grant-2020-363/,2020,for use by its Shield Illinois team in support of scaling saliva-based COVID-19 rapid testing to help K-12 schools in Illinois reopen and stay open,"$1,400,000"
52,https://www.rockefellerfoundation.org/grant/grant-new-venture-fund-2020-13/,New Venture Fund 2020,toward the cost of building the field of data science for social impact and establishing high impact use cases,"$3,500,000"
53,https://www.rockefellerfoundation.org/grant/grant-2020-325/,"University of California, Berkeley 2020",for use by its Othering and Belonging Institute in support of a bi-annual assessment of how well federal policies address the economic needs of localities and regions within the U.S. in the context of COVID-19,"$175,000"
54,https://www.rockefellerfoundation.org/grant/grant-2020-355/,Boston Children's Hospital 2020,in support of establishing an open data initiative for digital epidemiology,"$1,500,000"
55,https://www.rockefellerfoundation.org/grant/grant-2020-326/,New York University 2020,"for use by its School of Law toward the costs of establishing a tax law center, to engage and organize tax legal experts to work in the public interest to protect and secure revenues and advance equity in the U.S. tax system","$500,000"
56,https://www.rockefellerfoundation.org/grant/grant-2020-336/,Boston University 2020,"for use by its Center for Antiracist Research in support of exploring ways to understand, explain and solve seemingly intractable problems of racial inequity and injustice, and to develop a Racial Data Lab and COVID-19 Racial Data Tracker","$1,500,000"
57,https://www.rockefellerfoundation.org/grant/grant-2020-298/,"Testing For America, LLC 2020","in support of efforts to identify, pay for, and deploy the SalivaDirect protocol COVID-19 tests needed to safely reopen college campuses with a focus on Historically Black Colleges &amp; Universities","$1,500,000"
58,https://www.rockefellerfoundation.org/grant/grant-2020-379/,Praekelt Foundation 2020,"in support of AI-based symptom checking to catalyze the adoption of quality telehealth, maintain essential health services, and enable smart testing strategies in South Africa during the COVID-19 pandemic. ","$2,176,824"
59,https://www.rockefellerfoundation.org/grant/grant-2020-383/,Hivos Foundation 2020,in support of its Amazon Indigenous Health Route project in inabling an equitable COVID-19 response for indigenous communities in the Amazon Basin,"$1,589,810"
61,https://www.rockefellerfoundation.org/grant/grant-sustainable-energy-for-all-2020-5/,Sustainable Energy for All 2020,in support of galvanizing global momentum and action that will dramatically accelerate the rate of last-mile electrification that will support the livelihoods and economic mobility of low income households and communities,"$5,000,000"
62,https://www.rockefellerfoundation.org/grant/grant-energy-company-of-the-future-limited-2020-8/,Energy Company of the Future Limited 2020,"in support of completing the launch of its integrated electricity distribution project, which will invest in and operate across the power sector value chain - from developing embedded generation capacity (renewables), on-grid electricity distribution, last mile reticulation (i.e. smart metering), and off-grid (mini-grids and solar home systems) in order to provide  energy access in Nigeria to poor and vulnerable populations as described in the attached Proposal. ","$350,000"
63,https://www.rockefellerfoundation.org/grant/grant-sima-llc-2020/,2020,"to be applied as follows (together, the “Project”): <br/> <br/> (i)	$100,000 towards the cost of structuring, launching and managing the Energy Access Relief Facility (the “Facility”) that will issue term-loans to Energy Access Companies who provide energy access services to poor and vulnerable populations and whose operations have been affected by the COVID-19 pandemic (“Eligible Companies”) as described in the Proposal; and <br/> (ii)	$1.4 million for loan capital (the “Loan Capital Amount”) to be issued to Eligible Companies prior to the closing of the Facility (the “Warehoused Loans”) as described in the Proposal.   The Warehoused Loans or any remaining Loan Capital Amount shall be converted into junior notes to be issued under the Facility (“Junior Notes”) for a term of no more than four (4) years. <br/> (iii)	If the Facility closes, then the Grantee may use any amounts repaid under the Junior Notes upon termination of the Facility and written notice to the Foundation to either:<br/> a.	issue additional term-loans to similar Eligible Companies for another four (4) year term (the “Additional Loans”); and/or <br/> b.	provide technical assistance to similar Eligible Companies (the “Technical Assistance”).<br/> ","$1,500,000"
64,https://www.rockefellerfoundation.org/grant/grant-2020-400/,New America Foundation 2020,"in support of its Future of Property Rights program to develop strategies for improving housing loss data across the nation and to build a national census tract level dataset of housing loss due to COVID-19, in order to effect evidence-based, systemic policy development that fosters equitable recovery in the United States ","$201,838"
65,https://www.rockefellerfoundation.org/grant/grant-crossboundary-llc-2020-2/,CrossBoundary LLC 2020,"in support of the  mini-grid learning lab that is focused on gathering and analyzing wider sets of data to build a dynamic and usable mini-grid evidence base for the energy sector, to provide unserved populations with quicker access to electricity","$1,950,000"
66,https://www.rockefellerfoundation.org/grant/grant-2020-342/,Vanguard Economics 2020,toward the costs of increasing the consumption of whole grains by vulnerable communities in safety net programs at schools in Rwanda,"$424,248"
67,https://www.rockefellerfoundation.org/grant/grant-2020-367/,Detroit Employment Solutions Corporation 2020,to support its Detroit at Work program to launch the Healthcare Industry Partnership Training Initiative for improved COVID-19 testing capacity for vulnerable communities in Detroit,"$500,000"
68,https://www.rockefellerfoundation.org/grant/grant-2020-327/,"Fusion Partnerships, Inc. 2020","for use by its CLLCTIVLY project, in support of an initiative to award micro-grants to Black-led community organizations and Black-owned businesses impacted by COVID-19 in Greater Baltimore","$75,000"
69,https://www.rockefellerfoundation.org/grant/grant-2020-329/,City of Houston 2020,for use by the Complete Communities Improvement Fund in support of establishing a new financial empowerment center in the Sunnyside neighborhood of Houston to provide financial counseling to low-income families ,"$300,000"
70,https://www.rockefellerfoundation.org/grant/grant-2020-404/,Harvard University 2020,in support of research on organizational and business models to develop digital public goods for government services and international development,"$100,000"
71,https://www.rockefellerfoundation.org/grant/grant-2020-320/,Human Rights Campaign Foundation 2020,in general support of its mission to end discrimination against LGBTQ people and realize a world that achieves fundamental fairness and equality for all,"$100,000"
72,https://www.rockefellerfoundation.org/grant/grant-2020-396/,Post Road Foundation 2020,"in support of the expertise needed to finalize the structure of the Post Road Cooperative Fund pilot which focuses on building sustainable digital infrastructure in unserved and low-income U.S. communities to enable remote medical, education, and work capabilities<br/> <br/> ","$35,000"
73,https://www.rockefellerfoundation.org/grant/grant-pact-2020/,PACT 2020,"in support of expanding its Smart Power Myanmar to incubate, implement and unlock public-private capital for mini grid projects and last-mile connections in Myanmar","$6,000,000"
74,https://www.rockefellerfoundation.org/grant/grant-2020-394/,"ImpactAssets, Inc. 2020",in support of determining whether The Rockefeller Foundation's seeding of a charitable fund by Blue Forest Conservation to support forest maintenance across the U.S. as a matching gift program through a Donor Advised Fund vehicle will catalyze other impact investors and grant funders to the fund,"$265,000"
75,https://www.rockefellerfoundation.org/grant/grant-2020-309/,The Urban Ocean Labs 2020,"in support of the planning phase of creating policy solutions for U.S. coastal cities to develop an urban ocean protection, conservation and restoration plan.","$75,000"
76,https://www.rockefellerfoundation.org/grant/grant-2020-353/,"Shining Hope for Communities, Inc. 2020",in support of the cost of Covid19 testing and tracing efforts in Kenyan Informal Settlements,"$350,000"
77,https://www.rockefellerfoundation.org/grant/grant-national-conference-of-state-legislatures-2020/,National Conference of State Legislatures 2020,in support of improving the quality and effectiveness of state legislatures to impact the upward economic mobility for low-income and historically marginalized populations,"$475,000"
78,https://www.rockefellerfoundation.org/grant/grant-2020-391/,"Pathways to Health Community Partnership, Inc 2020",in support of piloting and evaluating smart testing protocols to help schools in Tulsa reopen and stay open,"$675,000"
79,https://www.rockefellerfoundation.org/grant/grant-2020-382/,Malaria No More 2020,toward the costs of launching a guarantee facility through The Health Finance Coalition to unlock working capital for private SME healthcare providers in Africa in response to COVID-19,"$500,000"
80,https://www.rockefellerfoundation.org/grant/grant-2020-362/,The Engine Foundation 2020,toward the costs of a public education campaign to be mounted by its COVID-19 Technology Task Force to drive participation in contact tracing. ,"$250,000"
81,https://www.rockefellerfoundation.org/grant/grant-women-political-leaders-2020/,2020,"in support of the Reykjavik Manual, the outcome document for the Reykjavic Global Forum","$80,000"
82,https://www.rockefellerfoundation.org/grant/grant-national-governors-association-center-for-best-practices-2020/,National Governors Association Center for Best Practices 2020,to support its Human Services &amp; Early Childhood Program and Workforce Development &amp; Economic Policy program in building an economic stability and mobility agenda for low-income families for an equitable economic recovery for States in response to COVID-19,"$500,000"
83,https://www.rockefellerfoundation.org/grant/grant-2020-405/,"Shining Hope for Communities, Inc. 2020",in support of piloting an in-house cash transfer mechanism as part of COVID-19 response and recovery efforts in Kenyan urban slums,"$250,000"
84,https://www.rockefellerfoundation.org/grant/grant-2020-343/,Global Alliance for Improved Nutrition 2020,in support of scaling the Food System Dashboard in order to track and compare global food systems vital signs,"$450,189"
85,https://www.rockefellerfoundation.org/grant/grant-worldwide-initiatives-for-grantmaker-support-inc-2020/,"Worldwide Initiatives for Grantmaker Support, Inc. 2020","in general support of its mission to strengthen philanthropy and a culture of giving through mutual learning and support, knowledge sharing and professional development","$80,000"
86,https://www.rockefellerfoundation.org/grant/grant-2020-370/,World Health Organization 2020,In support of developing a global knowledge platform and products to support countries in maintaining the provision of essential health services amid the challenges of resource-intensive COVID-19 pandemic responses,"$2,500,000"
87,https://www.rockefellerfoundation.org/grant/grant-2020-372/,Johns Hopkins University 2020,"for use by its School of Nursing, in support of developing quantitative models to speed and improve the development of analytics products to inform COVID-19 response and mitigation","$999,968"
88,https://www.rockefellerfoundation.org/grant/grant-2020-384/,2020,"in support of its Gencore molecular laboratory and Center for Research and Formation in Artificial Intelligence to collaborate on the development, refinement, and implementation of an artificial intelligence-driven, smart pooling methodology for COVID-19 testing in Bogota, Colombia","$495,000"
89,https://www.rockefellerfoundation.org/grant/grant-2020-316/,"National Employment Law Project, Inc. 2020","toward the costs of efforts to ensure that all U.S. workers have the wages, benefits, and conditions to live in security and dignity, that corporations are accountable to workers, and that workers can collectively change their working conditions for the better","$1,000,000"
90,https://www.rockefellerfoundation.org/grant/grant-2020-359/,Brown University 2020,"for use by its School of Public Health in support of developing a tool kit to provide an easily accessible library of assets that promote participation in COVID-19 testing, educate the public about the role of testing, and train officials and their partners in campaigning and engaging with communities around testing","$218,580"
91,https://www.rockefellerfoundation.org/grant/grant-2020-389/,2020,toward the costs of piloting and evaluating smart COVID-19 testing protocols to help public schools reopen and stay open in New Orleans,"$675,000"
92,https://www.rockefellerfoundation.org/grant/grant-2020-409/,National Committee for Responsive Philanthropy 2020,"in general support of its mission to promote philanthropy that serves the public good, is responsive to people and communities with the least wealth and opportunity, and is held accountable to the highest standards of integrity and openness","$75,000"
93,https://www.rockefellerfoundation.org/grant/grant-2020-324/,Coalition on Human Needs 2020,in general support of its mission to promote federal policies that address the needs of low-income and vulnerable people in the U.S.,"$600,000"
94,https://www.rockefellerfoundation.org/grant/grant-2020-388/,2020,"in support of piloting and evaluating smart, COVID-19 testing protocols to help communities and institutions reopen and stay open","$700,000"
95,https://www.rockefellerfoundation.org/grant/grant-2020-390/,Louisville Department of Public Health and Wellness 2020,"in support of piloting and evaluating smart COVID-19 testing protocols to help schools reopen and stay open in Louisville, KY ","$665,000"
96,https://www.rockefellerfoundation.org/grant/grant-2020-369/,"Pathways to Health Community Partnership, Inc 2020","in support of efforts to build and promote a community health workforce to serve communities vulnerable to COVID-19 in Tulsa, Oklahoma","$650,000"
97,https://www.rockefellerfoundation.org/grant/grant-2020-311/,2020,in support of strengthening its organizational capacity and sustainability and its efforts to help cities in its global network maintain and recover critical function in the face of shocks and stresses,"$2,000,000"
98,https://www.rockefellerfoundation.org/grant/grant-2020-407/,Unidos US 2020,toward the costs of a public health campaign to strengthen recovery efforts and mitigate the impact of COVID-19 in the Latino Community,"$350,000"
99,https://www.rockefellerfoundation.org/grant/grant-2020-411/,2020,"in support of its New University in Exile Consortium to provide an active and supportive intellectual community for<br/> endangered, exiled academics who have been persecuted and forced to flee their home countries","$150,000"
101,https://www.rockefellerfoundation.org/grant/grant-2020-360/,2020,"in support of efforts to increase the speed and effectiveness of contact tracing, employee testing and the education of employer protocols in Miami-Dade county to help in recovery efforts related to COVID-19","$255,030"
102,https://www.rockefellerfoundation.org/grant/grant-2020-361/,City of Miami Beach 2020,"in support of a communications campaign to safely reopen the Hospitality and Tourism industry in Miami and bolster protection for vulnerable employees, in the wake of COVID-19.","$200,000"
103,https://www.rockefellerfoundation.org/grant/grant-2020-357/,"Speak Up Africa, Inc 2020","in support of communications workshops for influencers, media houses and journalists across Africa in order to encourage and promote positive social behavior change to prevent the spread of COVID-19","$252,055"
104,https://www.rockefellerfoundation.org/grant/grant-2020-368/,Crush the Curve Idaho Foundation 2020,in support of efforts to increase testing at and provide thermometers to public school districts in Idaho in response to the COVID-19 pandemic,"$200,000"
105,https://www.rockefellerfoundation.org/grant/grant-2020-318/,Family Values at Work A Mult,"in general support of its mission to expand paid leave in the U.S at the state and federal level, as well as expanding support for caregiving more broadly","$200,000"
106,https://www.rockefellerfoundation.org/grant/grant-2020-380/,CORE Community Organized Relief Effort 2020,"in support of its communications initiatives for current COVID-19 testing and wrap-around services such as food assistance, and social support, in Fulton County, Georgia","$229,800"
107,https://www.rockefellerfoundation.org/grant/grant-2020-374/,Yale University 2020,in support of developing a communications campaign designed to create the behavior changes needed to reduce the spread of COVID-19.<br/> <br/> ,"$150,004"
108,https://www.rockefellerfoundation.org/grant/grant-2020-322/,"Missionary Pentecostal Church of God, Inc. 2020",toward the costs of a project to protect and enhance the social safety net for vulnerable communities in the U.S. as they navigate the challenges of the economic recession and the COVID-19 pandemic,"$250,000"
109,https://www.rockefellerfoundation.org/grant/grant-2020-375/,PATH 2020,"in support of demonstrating cost-effective, sustainable, and scalable COVID-19 testing solution packages for vulnerable populations in India<br/> ","$2,000,000"
110,https://www.rockefellerfoundation.org/grant/grant-2020-328/,"The Jewish Federations of North America, Inc. 2020",toward the costs of an effort to increase awareness of the Earned Income Tax Credit program in targeted communities in order to expand benefits to more families across the U.S.,"$200,000"
111,https://www.rockefellerfoundation.org/grant/grant-2020-313/,WGBH Educational Foundation 2020,"in support of pivoting the content of the ""Future of Work"" series to respond to the COVID-19 pandemic","$100,000"
113,https://www.rockefellerfoundation.org/grant/grant-2020-387/,The Atlantic Monthly Group LLC 2020,"in support of collecting, maintaining the integrity of, and releasing open source datasets to track Covid-19 response and recovery","$500,000"
114,https://www.rockefellerfoundation.org/grant/grant-center-for-american-progress-2020/,Center for American Progress 2020,"toward the costs of drafting parts of a comprehensive COVID recovery plan that will promote the economic stability and mobility of working families, particularly those who have historically been overlooked","$500,000"
115,https://www.rockefellerfoundation.org/grant/grant-oxford-university-2020/,2020,"in support of developing a report to further the understanding of the importance of how access to reliable electricity enables upward economic mobility, and provide data-backed analysis that can help make the case for universal electrification as a path for economic development.","$45,000"
116,https://www.rockefellerfoundation.org/grant/grant-2020-385/,PATH 2020,toward the costs of validating convenient sample collection methods for new COVID-19 antigen tests as a method to screen asymptomatic individuals in Brazil,"$250,000"
117,https://www.rockefellerfoundation.org/grant/grant-2020-386/,Reagan Udall Foundation 2020,in support of research to gather real-world data and<br/> generate evidence regarding the performance of COVID19 diagnostic and antibody tests <br/> ,"$250,000"
118,https://www.rockefellerfoundation.org/grant/grant-2020-354/,Community Initiatives 2020,for use by its U.S. Digital Response project toward the costs of building data infrastructure for governments across the United States to improve responsiveness to the Covid-19 crisis.,"$500,000"
119,https://www.rockefellerfoundation.org/grant/grant-2020-123/,Center for Economic Democracy Inc. 2020,"for use by its Boston Ujima Project toward the costs of providing financial products and technical assistance to Black- and Latinx-owned small businesses in Boston, MA","$175,000"
120,https://www.rockefellerfoundation.org/grant/grant-2020-414/,2020,"toward the costs of non-partisan efforts to educate, register, and increase voter turn out numbers","$275,000"
121,https://www.rockefellerfoundation.org/grant/grant-new-venture-fund-2020-14/,New Venture Fund 2020,for use by its U.S. Impact Investing Alliance toward the costs of building the impact investing ecosystem by bridging market gaps and addressing shared challenges,"$262,594"
122,https://www.rockefellerfoundation.org/grant/grant-national-immigration-law-center-2020/,National Immigration Law Center 2020,"toward the costs of the Protecting Immigrant Families Campaign, an effort to protect access to health care, public services, economic supports and COVID-19 relief for immigrants and their families","$350,000"
123,https://www.rockefellerfoundation.org/grant/grant-2020-403/,Prosperity Now 2020,"in support of the Taxpayer Opportunity Network and other efforts to provide alternative, digital tax filing assistance.","$300,000"
124,https://www.rockefellerfoundation.org/grant/grant-institute-for-healthcare-improvement-2020/,Institute for Healthcare Improvement 2020,In support of establishing rapid learning and action networks to share testing solutions that drive reductions in COVID-19 infections throughout health worker settings in South Africa,"$327,654"
125,https://www.rockefellerfoundation.org/grant/grant-2020-312/,World Resources Institute 2020,in support of developing and disseminating a white paper and promoting a conversation to explore proposals for a green and equitable COVID-19 recovery in the U.S,"$250,000"
126,https://www.rockefellerfoundation.org/grant/grant-united-nations-sustainable-development-solutions-network-2020/,United Nations Sustainable Development Solutions Network 2020,"in support of a Lancet Commission to promote effective economic, social,	and public health responses to the Covid pandemic and an economic recovery that supports the Sustainable Development Goals","$300,000"
127,https://www.rockefellerfoundation.org/grant/grant-2020-366/,2020,"for use by its Ending Pandemics in support of programs to improve the ability of its member networks, especially in southeast Asia, Africa, and the Middle East, to detect, verify, and respond faster to the outbreak of animal and human infectious diseases, and strengthen regional preparedness in the future.","$1,154,600"
128,https://www.rockefellerfoundation.org/grant/grant-the-nudge-foundation-2020/,The/Nudge Foundation 2020,"toward the costs of using data science, machine learning and artificial intelligence to enable systems that will match jobs for migrant workers in India impacted by the COVID-19 pandemic","$50,000"
129,https://www.rockefellerfoundation.org/grant/grant-asset-funders-network-2020-4/,Asset Funders Network 2020,in general support of its mission to engage philanthropy to advance economic opportunity and prosperity for low- and moderate-income people,"$300,000"
130,https://www.rockefellerfoundation.org/grant/grant-baltimore-civic-fund-2020/,Baltimore Civic Fund 2020,"for use by Baltimore Community Health Worker Corps, toward the costs of a pilot project to recruit and hire workers for COVID-19 contact tracing and care coordination in Baltimore, MD","$3,000,000"
