,Page Url,Job,Location,Type,Description,Organization
29,https://jobs.hopkinsmedicine.org/job/coding-education-auditor-ip-coding-johns-hopkins-health-syst-304363-4feb5/,CODING EDUCATION AUDITOR (REMOTE) IP,"Johns Hopkins Health System, Baltimore, MD 21201",Economics,"Position Summary:
Under the direction of the Coordinator, Inpatient Education & Audits, the Coding Education Auditor, Inpatient will be responsible for assisting with developing alleducation and coding quality improvement initiatives for the Inpatient Coding Division at JHHS. The Coding Education Auditor, Inpatient is responsible for analyzing,reviewing, and resolving coding and documentation issues that are related to reimbursement, compliance, and revenue enhancement. The Auditor will performfocused second level coding quality reviews, as needed, to support improving coding quality for each inpatient Coding Specialist. The Auditor will documentrelevant trends of inaccurate coding and areas that are high risk for compliance issues to the Coordinator. The Auditor is responsible for offering recommendationsfor improvement to maintain a minimum of 95% coding quality across the JHHS enterprise. The Auditor will utilize the nThrive DNA learning management systemto assist with coding education and skill development. This individual will assist with conducting investigation and research of existing policies, guidelines andprecedent cases in publications such as Federal Register, AHA Coding Clinic, and AHIMA Journal to support internal policy development. Additional research willinclude AHRQ, RAC SOW, OIG Coding Compliance Plan and Correct Coding Initiative Guidelines to determine JHHS internal focused audits plan for the fiscal year.The Auditor will assist with special projects assigned by the Coordinator, Inpatient Education & audits.
Education:
Associate's degree in Health Information Management or health-care related field with required credentials, or work experience equivalent to two years of HIM inpatient coding experience, for one year of education experience, i.e. 4 years.
Licensure/Certification:
Requires Certified Coding Specialist (CCS) certification. RHIT or RHIA credentials preferred. Candidate will be required to pass AHIMA approved inpatient CodingSpecialist IV assessment prior to hire.
Work Experience:
Requires minimum of 5 years inpatient coding experience required. 1 year of education, training and auditing experience preferred.
Shift:
Full Time, Day Shift (40 hours)
8:30 am - 5:00 pm
Exempt
Location:
JHH, 600 N. Wolfe Street, Baltimore, MD  21287
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
30,https://jobs.hopkinsmedicine.org/job/construction-project-manager-manager-supervisor-johns-hopkins-all-childre-331164-651d7/,Construction Project Manager,"Johns Hopkins All Children's Hospital, St. Petersburg, FL 33701",Economics,"POSITION SUMMARY:
Responsible for the entire successful execution of a construction project.  Primary responsibilities are to plan, direct, coordinate, and budget activities concerned with the construction and maintenance of JHACH structures, facilities, and systems. Participates in the conceptual development of a construction project and oversees its organization, estimating, scheduling, and implementation.  Serves as the hospital’s representative for all local, state and federal agencies associated with construction. 
Work Location: St. Petersburg, FLWork Hours: 8a-4:30p 
QUALIFICATIONS:  
 BA/BS in Architecture, Interior Design, Engineering, or Construction Management or equivalent  10 years related experience on health care construction projects, performing field Construction Management oversight  Current Certified Healthcare Contractor (CHC) or Certified Healthcare Facility Manager (CHFM) or ability to obtain certification within 1 year Extensive knowledge of required code and standard compliance (NFPA, TJC, OSHA, CMS, etc.) in a healthcare environment Ability to differentiate between colors and shades of color 
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
31,https://jobs.hopkinsmedicine.org/job/program-manager-customer-engagement-non-clinical-professional-johns-hopkins-health-care-331006-52fa0/,Customer Engagement - Program Manager,"Johns Hopkins Health Care, Hanover, MD 21076",Economics,"Johns Hopkins HealthCare (JHHC) is the managed care and health services business of Johns Hopkins Medicine, one of the premier health delivery, academic, and research institutions in the United States.  JHHC is a $2.5B business serving over 400,000 lives with lines of business in Medicaid, Medicare, commercial, military health, health solutions, and venture investments.  JHHC has become a leader in provider-sponsored health plans and is poised for future growth.  
Many organizations talk about transforming the future of healthcare, Johns Hopkins HealthCare is actually doing it.  We develop innovative, analytics-driven health programs in collaboration with provider partners to drive improved quality and better health outcomes for the members and communities we serve.  If you are interested in improving how healthcare is delivered, join the JHHC team. 
   Position Summary:   Johns Hopkins HealthCare LLC Innovation business unit is undergoing significant transformation and focus in its vision, mission, and key focus areas.  The centerpiece of its portfolio is Solutions.  Our vision is to become the go-to division that adapts Johns Hopkins science and develops commercial ventures and solutions that achieve better population health outcomes for local and global populations.  Our mission is to focus on achieving better health outcomes for local and global populations.   We work with organizations – self-insured employers, health plans, health systems, and health-IT organizations.  We distill data, share information, and implement interventions to influence changes in individuals’ health behaviors – millions of people at a time. ​ The Program Manager, Operations will report into the Director, Customer Engagement. The role will be responsible for managing ongoing customer accounts, ensuring customers’ product needs are supported, and for bringing feedback from customers on our products and solutions and their unmet needs. The ideal candidate will possess the following abilities:  Demonstrated ability and experience in working with customers to implement digital health and other population health management solutions and to provide them with high quality service Proven ability to use tools and technologies for effective delivery of services to customers   Demonstrated success in developing and maintaining strong industry relationships with customers Demonstrated ability to work collaboratively with prospects, customers, colleagues, and other stakeholders Proven ability to leverage tools and technology to manage relationships and track and communicate objectives and key results for areas of responsibility Willingness to perform all of the duties of a Program Manager at JHHC, Innovation and Solutions, as needed, including other duties as assigned to assist the successful operation of the business unit    
   Task requirements for position:    5+ years of proven experience in managing operations within a healthcare IT business in health plan or provider settings  Proven ability to use tools and technologies to model clinical and/or care management processes and project plans, develop and staffing models, manage cost and revenue management processes and implementing controls  Must have carried out testing and quality activity in a digital healthcare technology setting  Bachelor’s degree in business or science or technology is needed Must have proven relationship management and customer engagement experience  Must be familiar with the product development lifecycle, tools, and technologies used in the healthcare industry Must have proven collaboration skills working with team members in acquiring customer feedback on products and services     
REQUIREMENTS:
A. Education: A degree in business or science or technology is needed
B. Knowledge: Expert level knowledge in all aspects of project and program management related to product implementations, customer engagement events, documentation, breakdown, and management and reporting of tasks associated with implementing clinical workflows
C. Skills: High level of interpersonal skill, written and oral communication necessary to interface with various levels of management as well as faculty, partner and client interaction. Ability to work independently and meet scheduled timeframes; manage multiple accounts simultaneously; and prepare oral and/or written presentations to senior management. Ability to communicate reports and outcomes to accounts. Must have experience using tools like Salesforce, Microsoft Office.  Must be able to work in complex organizational systems and affect change.
D. Required Licensure, Certification, Etc.:  PMP certification with knowledge of Agile methodology.
E. Work Experience: Requires 5+ years’ experience in healthcare.
F. Machines, Tools, Equipment: Project management tools such Gantter, Jira, Confluence, Microsoft Teams, Micorosoft Office, Sharepoint, email, and general office and communication equipment
DIMENSIONS:
 Budget Responsibility:  Effectively work with supervisor to develop budgets and forecasting on developed faculty proposals and venture related enterprises.  
 Travel:  Some travel to accounts will be required by this role. 
 Supervisory responsibility:  Ability to effectively manage a small team.   
   Problem  Solving: Ability to effectively martial complex data and information from many sources to derive and communicate clear understanding and be successful in a complex environment.     Information  Management: Ability to collate, aggregate, and report on operational data.       Working  Conditions: Some domestic may be required.  Must be able to operate effectively using web based and e-mail communications with supervisors and staff and external stakeholders.      
",Johns Hopkins
32,https://jobs.hopkinsmedicine.org/job/sr-director-data-governance-quality-non-clinical-professional-johns-hopkins-health-care-291264-7e563/,Data Officer (Data Governance and Quality)(SME),"Johns Hopkins Health Care, Hanover, MD 21076",Economics,"Johns Hopkins HealthCare (JHHC) is the managed care and health services business of Johns Hopkins Medicine, one of the premier health delivery, academic, and research institutions in the United States.  JHHC is a $2.5B business serving over 400,000 lives with lines of business in Medicaid, Medicare, commercial, military health, health solutions, and venture investments.  JHHC has become a leader in provider-sponsored health plans and is poised for future growth.  
Many organizations talk about transforming the future of healthcare, Johns Hopkins HealthCare is actually doing it.  We develop innovative, analytics-driven health programs in collaboration with provider partners to drive improved quality and better health outcomes for the members and communities we serve.  If you are interested in improving how healthcare is delivered, join the JHHC team. 
    Position Summary:   The Data Officer will lead the business Data Governance efforts and manage all organization-wide data governance activities and will have responsibility for improving the quality and managing the protection of sensitive data and information assets. The position will focus on establishing and ensuring adherence to an enterprise data governance framework for data policies, standards and practices, both at the department and Business and Functional areas level, to achieve the required level of consistency, quality and protection to meet overall business needs. The Data Officer serves as a point of escalation for governance, data quality and protection/privacy issues. They will work closely with business and functional area leadership to improve the quality and value of core data assets, respond to regulatory protection requirements as well as support the strategic requirements of the department. The incumbent is also responsible for defining, developing and implementing data and analytic strategy, coordinating data initiatives and leading data initiatives.    Requirements: 
     Education:  A Bachelor’s Degree in Information Sciences, Quantitative Social Sciences or other quantitative filed is required.   An advanced degree in quantitative/data sciences or MBA is preferred. Masters in Computer Science, MIS, or Information Management preferred.     B.    Knowledge: Strong facilitation and project management oversight skills Knowledge of industry leading data quality and data governance management practices Knowledge of data governance practices, business and technology issues related to management of enterprise information assets and approaches related to data protection Knowledge of data related government regulatory requirements and emerging trends and issues Working knowledge of the legal and ethical dimensions of data access, sharing, and disclosure in the healthcare sector. Demonstrated consulting skills, with change management concepts and strategies, including communication, culture change and performance measurement system design Knowledge of data architecture and data related technology solutions Internally and externally recognized subject matter expert that influence the way things are done     C.    Skills: Strong administrative, organizational and leadership skills, including competence in strategic direction setting, planning, problem solving, project management, and staff management.     D.    Required Licensure, Certification, Etc.: None     E.    Work Experience: Minimum of 10 years of experience in a data management with a health care organization, with at least 5 years of experience deploying enterprise-wide data governance programs. Must have developed and managed an Enterprise Data Strategy and roadmaps that reflect enterprise strategic priorities, marketplace needs, value added vendor partnerships and alliance opportunities. Prior experience with implementation of  Data Governance and Data Quality Programs Previous experience with preparation of business cases for large technical projects Must have familiarity with data modelling and visualization techniques.     F.    Machines, Tools, Equipment: General personal computer and applications; standard office equipment      
 Dimensions: 
   A.    Budget Responsibility: Responsible for development and management of department budget, as well as managing resources within the budget limits.     B.    Authority/Decision Making Level: Develops and manages enterprise strategy for data management.     C.    Supervisory Responsibility: None     Problem  Solving: Executive ownership and implementation of data, reporting, and analytics capability/solution implementations and enterprise rollout and adoption of information assets.     Information  Management: Reads and understands software documentation, managed care manuals, regulatory publications, and internal reports. Keeps current with best practices and shares knowledge with management team. Applies critical thinking skills to solve both tactical and strategic problems.     Working  Conditions: Works in a normal office environment. Requires ability to sit for extended periods.  Work requires attention to detail and accuracy.   
",Johns Hopkins
33,https://jobs.hopkinsmedicine.org/job/decision-support-sr-financial-analyst-finance-johns-hopkins-health-syst-324686-ae0d7/,Decision Support Sr. Financial Analyst,"Johns Hopkins Health System, Baltimore, MD 21201",Economics,"DECISION SUPPORT SR. FINANCIAL ANALYST
REQUISITION ID 324686
WORK LOCATION:  Temporarily Remote (Johns Hopkins at Keswick, 3910 Keswick Road, Baltimore, MD 21211
Position Summary:
This position will serve as the main contact between the end users of Johns Hopkins Medicine utilizing decision support toolsets and the JHHS Finance Decision Support Department. Responsibilities will include assisting with the roll-out, data collection, maintenance, and validation of JHM decision support based solutions for the assigned JHM affiliate. The qualified candidate will assist in the collection and maintenance of decision support based budgeting, financial, costing, and patient level data structures; assist with meaningful analyses utilizing this data; and support the education and training of decision support end users. The qualified candidate will also be required to have an ability to independently perform analytical tasks; lead projects; independently learn new solutions, functionality, and technology; have a thorough understanding of financial based reporting and decision support based functionality capabilities.
Education:
Bachelors in Finance, Accounting, or Health Administration.
Work Experience:
Five years or more of healthcare or finance experience OR three years or more of working related experience within Johns Hopkins Medicine.   Prefer experience in healthcare patient financial reporting, analysis and cost accounting.  Experience preferred with EPSI.
Shift:
Full Time, Day Shift (40 hours)
8:30 am - 5:00 pm
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
34,https://jobs.hopkinsmedicine.org/job/director-occupational-health-services-advanced-practice-providers-johns-hopkins-health-syst-338144-36aa2/,Director - Occupational Health Services,"Johns Hopkins Health System, Baltimore, MD 21201",Immunization,"Position Summary:
Direct all clinical and business operations of the Occupational Health Clinics for OHS@Eastern; East Baltimore – 98 Broadway, Blalock 144, Employee Health and Wellness clinic at Phipps 351 and after-hours clinic; OHS at Broadway Services, Inc.; CPR office and contractual services outside of Maryland. Oversee surveillance programs, return to work, health screenings, and medical case management (FML Workers’ Compensation), and fitness for duty programs.  Oversee evaluation and case management of injured workers at OHS@Eastern.  Oversee and supervise a total of 42 employees including permanent and temporary staff not including those temporary staff who administer the annual influenza vaccine.  Provides leadership to achieve clinical financial and organizational outcomes.  Promotes innovation and excellence in clinical, service and team performance.
Reporting Relationship: Reporting directly to Senior Vice President, Human Resources/Chief Human Resources Officer JHHS; Vice President for Human Resources and Chief Human Resources Officer JHU; and Executive Director, Department of Health, Safety, and Environment JHM/JHU.
Education & Experience:
 BA, BS or Bachelor's Degree in nursing practice from accredited nursing school MBA, MPH in Occupational Medicine or Master's Degree in advanced nursing practice from accredited nursing school preferred. 7-10+ years of progressively responsible related experience in primary care or occupational health including 3-5 years of management experience with significant business impact. 
Required Licensure, Certification, On-going Training:
Applicable board certification, with current state license issued by State of Maryland.
Status: Full-Time/Exempt
Location: Baltimore, Maryland
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
35,https://jobs.hopkinsmedicine.org/job/director-finance-and-decision-support-finance-howard-county-general-hos-350183-0f769/,Director Finance and Decision Support,"Howard County General Hospital, Columbia, MD 21044",Economics,"The Director, Finance & Decision Support is under the direction of the Sr. Vice President Finance/CFO, this position is responsible for overseeing and directing various financial functions of Howard County General Hospital (HCGH) and the Howard Hospital Foundation (HHF) that relate to budgeting, financial analysis, executive and departmental finance support, and the financial reports and systems that are used for communicating financial results. This includes directing the operating and capital budget processes and supporting the development of effective budgets. The director provides support for the Executive Leadership Team and HHF in developing presentations to communicate the budget and obtain the approvals. The Director oversees and directs operations and financial analyses to support the management’s change-based decision-making needs in diagnosing operating activities, business trends and events. This position also evaluates the impact of proposed alternatives to business operations and provides management with focused analytical data to assist in optimizing market position and efficiency. In addition, the Director is responsible for ensuring that the data being aggregated and reported utilizing the hospital’s financial systems such as SAP, EPIC and EPSi accurately reflects the financial results of the hospital and engages Finance and Decision Support staff to routinely reconcile the modules to core financial systems to test the accuracy.
ESSENTIAL DUTIES AND RESPONSIBILITIES:1. Establishes, in conjunction with the Sr. Vice President of Finance/CFO, the timetable and work plan for completing the annual operating and capital budgets.2. Directs staff to coordinate and collaborate with assigned departments to prepare and assemble the hospital’s operating budgets including the salary, supply and expense, income, cash and capital budgets.3. Directs staff to review and analyze budget requests submitted by department heads. Provides guidance and direction to analyze monthly comparative departmental budget reports comparing actual to budget, using standards of measurement developed to evaluate performance.4. Oversees the preparation of the Administration operating budget and participates in the administrative budget review process. Oversees and directs the preparation of presentations for the Executive Leadership Team necessary to obtain the various hospital and Johns Hopkins Health System and Johns Hopkins Medicine budget approvals.5. Provides leadership and direction in identifying and applying cost avoidance, cost reduction and revenue enhancement functions of HCGH and HHF.
EXPERIENCE:
 Requires seven (7) to ten (10) years of healthcare finance experience, including at least five (5) years of progressive management experience in a hospital environment.
LICENSES & CERTIFICATIONS:1. Certification by State Board of Certified Public Accountants preferred.
EDUCATION:
Bachelor of Science in Accounting or Finance required. Master's preferred, but can be offset with equivalent experience.
",Johns Hopkins
36,https://jobs.hopkinsmedicine.org/job/director-of-food-and-culinary-services-leadership-johns-hopkins-hospital-b-319784-75453/,Director of Food and Culinary Services,"Johns Hopkins Hospital, Baltimore, MD 21201",Economics,"1.Develop and manages strategic goals and objectives for JHM Affiliate Hospital Food and Culinary Services Department and plans to achieve those goals. 2.Ensures compliance with standards established by accrediting organizations including but limited to Department of Health, CMS, and COMAR regulations, Joint Commission Standards, the Academy of Nutrition and Dietetics Standards of Professional Practice, HACCP guidelines as well as federal, state, and professional regulations.3.Provides oversight for budget development and management for department.  Works collaboratively with JHHS Senior Director for Food and Culinary services to develop financial plans.  Plans and implements processes to improve efficiencies and enhance revenue generation for provision of food and culinary services.  4.Oversees departmental personnel by implementation of recruitment strategies, providing orientation, guidance, assistance, and ongoing development opportunities.  5.Responsible for training and succession planning of food and culinary professionals throughout the department.   6.Provides leadership to the development, implementation, and modification of standardized menus and recipes for JHM Affiliate Hospital in conjunction with JHHS Senior Director for Food and Culinary Services.  7.Supports development and maintenance of JHHS electronic food service systems, providing leadership for JHM Affiliate Hospital. 8.Provides oversight to the patient-focused program to drive satisfaction and patient experience outcomes.9.Supports sustainability initiatives through composting, selection of paper goods, and use of local vendors/suppliers as appropriate.10.In conjunction with Corporate Purchasing ensures compliance with all negotiated food contracts. 
Knowledge of the healthcare and higher education industry, purchasing and finance as it relates to food service systems and management which may include all of the following: food inventory and purchasing; value analysis and product standardization; budget processes; financial analysis for health care programs and projects; cost accounting principles; monthly financial reporting; GPO Benchmarking; federal and state funding guidelines and requirements.
Full Time (40 or 36 hours) 
Day Shift 
Employee Location:
JHH, 1800 Orleans Street Baltimore, MD  21287
Bachelor's Degree in Business, Finance or related field preferred or equivalent years of experience, or graduate level business degree experience or training to support fiscal analysis responsibilities.
7 years of related experience required 
Possible exposure to communicable diseases and hazardous materials with little likelihood of harm if established health precautions are followed; Works in normal office environment where there is little discomfort to due to the extremes of heat, dust, noise, temperature and the like; Works in patient care areas where there are no physical discomforts due to dust, dirt, temperature and the like 
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
37,https://jobs.hopkinsmedicine.org/job/director-of-culinary-operations-and-corporate-chef-leadership-johns-hopkins-hospital-b-325223-61aee/,Director of Patient Services,"Johns Hopkins Hospital, Baltimore, MD 21201",Economics,"   The Director of Patient Services is responsible for providing patient services expertise and successful patient services leadership for Food and Culinary Services for the Johns Hopkins Health System. Responsible for planning, organization and follow-up skills, with the ability to prioritize and manage multiple projects with sensitive deadlines and changing environments. The patient services director will ensure adherence to all JCAHO standards and operational excellence for the Johns Hopkins Health System. The patient services director will lead, coach and develop teams of skilled managers to achieve guest satisfaction while maintaining effective patient satisfaction with consistent execution. The patient services director will be responsible for menu development; testing and standardization of recipes and training of food service teams on related patient programs. The patient services director will have close interaction with other members of the JHHS Food and Culinary Services leadership team, procurement, and preferred vendor representatives.   
   Specific Duties And Responsibilities:1. Provides overall direction for patient menu in terms of the nutritional perspective keeping cost, quality and innovation in mind. 2. Lead Food and Patient Services Standards Committee to ensure all ingredients and recipes are evaluated and approved for use within JHHS facilities. Recipes are managed via the CBORD database to ensure completeness, accuracy and consistency. Provide leadership to the ongoing monitoring compliance and execution of service standards across a regional portfolio. 3. Responsible for leading each project through a patient services scope document that details the complete deliverables of the project including a detailed timeline. Ensures that all development projects are delivered within budget and associated schedule. 4. Responsible for leveraging strategic external relationships with vendors, professional organizations and other partners to ensure open communications and improved outcomes for patient services programs. 5. Provides oversight to the development of training tools for program implementation. Should include key materials to include manuals, trayline diagrams, plating specifications and associated flow diagrams. Also responsible for creating patient services workshops and presentations. 6. Responsible for quality, financial and safety related performance metrics. Uses data sets for statistical analysis in a complete and accurate manner allowing identification of performance outliers. 7. Provides direction for regulatory compliance of patient services areas and ensures that menus, service methods, portions and service meet federal state and districts standards 8. Acts as a preceptor to the students in dietetics education programs and other education programs as identified. 9. Collaborate with Clinical Nutrition Leaders and the Employee Wellness Steering Committee to improve the health, wellness and sustainability offerings and to implement organizational goals. Ensures that all kitchens provide nutritious, safe eye-appealing and properly flavored foods. 10. Provide coaching and guidance to improve the skill set of patient services staff, and provide the appropriate tool set to perform their jobs. 11. Provide support to Food and Culinary Services Initiatives across the Johns Hopkins Health System including conversion to self-operation, program implementation and physical renovations. Will require travel to and from facilities in Maryland, Florida and the District of Columbia and be present in those facilities as scheduled. 12. Responsible for the development of local patient services team members and ensuring effective working relationships across various stakeholder groups and within affiliates.   
   Professional Licensures/Certifications 1. Must have RD License2. Must have active Serv-Safe manager certification   Preferred Education Requirement 1. B.S. Degree in Dietetics with completion of a related Master's degree preferred. Current Registered Dietitian license required.   Preferred Years of Experience and/or Skills 1. Minimum of seven to ten years of progressive patient services management experience, depending upon formal degree or training.2. Must have experience in high volume, multi-site, complex foodservice operations.3. Comprehensive knowledge of healthcare foodservice trends with a focus on quality, production, sanitation and food cost controls.4. Strong supervisory, leadership, hands-on management and coaching skills5. Ability to communicate on various levels to include senior management, departmental, customer and associate levels6. Demonstrated financial, budgetary, and food control experience   
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
38,https://jobs.hopkinsmedicine.org/job/director-of-supply-chain-operations-all-childrens-hospital-leadership-johns-hopkins-health-syst-330689-c0c15/,Director of Supply Chain Operations (All Children's Hospital),"Johns Hopkins Health System, St. Petersburg, FL",Economics,"Thank you for your interest in Johns Hopkins Health System Supply Chain. Supply Chain is embarking on an exciting journey to become a leader in the industry. We have re-set our vision in order to provide even better care for our patients and are looking to hire the best people to enable this. We want to challenge you to think boldly, strategically and to not be constrained by the way things have always been done. Please join us on our journey to building the supply chain of the future. 
 POSITION SUMMARY: Primary Responsibilities This leadership position is accountable to the Senior Director of Logistics and Distribution of the Johns Hopkins Health System (JHHS) and to the CFO/COO/VP of Operations/VP of Support Services (or relevant supervisor) at the local hospital. Provides leadership to the local hospital’s Materials Management Department through the overall planning, direction, and management of the department, its policies and procedures, and its staff.  The incumbent is responsible for the receiving and distribution of materials, both clinical and non-clinical, including, but not limited to, management of central and other store rooms that must provide prompt access to clinical supplies, par replenishment operations for all nursing and clinical areas, maintenance of equipment inventory, and the provision of delivery services to units for patient care. Essential responsibilities include:  •    The Department meets or exceeds any standards as mutually agreed to in the Service Level Agreement (SLA) between JHHS Supply Chain and Local Hospital.  Performance against those standards will be reviewed with appropriate parties on at least a quarterly basis. •    Appropriate and accurate receiving is carried out for all items delivered to the receiving dock•    They understand and appropriately address the needs of the customers in the hospital (e.g. the nursing units, non-clinical areas)•    Overseeing the par management system within the facility at the clinical supply level •    Management of the inventory levels and relevant financial impact •    Utilization tracked in EPIC at the local facility correlates to utilization out of the par management system•    Take part in ERP system testing as related to change or enhancements effecting facility•    Work with Value Analysis to ensure product compliance and provide assistance with conversions, backorders, and substitutions•    Take part in various committees as related to supply usage and supply decisions•    They attend and actively participate in various hospital operational meetings in order to fully understand operational issues within the hospital that are impacted by availability of appropriate supplies and materials •    Work in coordination with Corporate Supply Chain to ensure System inventory management polies are being followed•    Work as an integral member of the hospital leadership on hospital-wide priorities and initiatives as they relate to the Materials Management Department, its staff, and its operations  •    Manage materials management staff and formulate decisions on hiring, training, evalua¬tion, discipline and discharge of subordinate employees  Additional responsibilities include: •    The development, administration, and monthly variance reporting of the department budget and receiving necessary approvals•    Monitoring and optimizing departmental labor productivity based on the benchmarks, targets and tools available•    Oversight of the Joint Commission on Accreditation of Healthcare (JCAHO) compliance and service level mandated improvements within assigned areas of responsibility•    Development, implementation and enforcement of departmental and JHHS Corporate Supply Chain policies and procedures.  The incumbent must interpret and communicate hospital and JHHS Corporate Supply Chain policies, objectives, and operational procedures to department employees.  He/she must resolve operational problems concerning items such as: staffing, utilization of hospital facilities, equipment and supplies and interdepartmental communications•    Monitoring and enforcing hospital and JHHS education/training policies, assessing employee skills, establishing channels for encouraging employee development and growth, i.e., expansion of their competencies and accountabilities•    Developing annual departmental objectives, which will facilitate the implementation of the hospital’s strategic plan.  Assisting in short or long range planning by serving on committees, task forces or teams with other hospital staff •    Coordinating the hospital Product Safety Recall Program and assuring that the hospital is following Federal Guidelines and that the reports are made to the appropriate Federal agency, when required The process of directing materials management should at all times be aligned with the vision for the future of Supply Chain, namely, sourcing the best quality products at the best price, treating customers with service orientation and focusing on supply chain excellence internally. Annual Goals and Objectives will be developed in conjunction with the direct and indirect supervisors and will reflect an appropriate balance between JHHS Supply Chain and local hospital strategic and operational priorities.   COMPETENCIES:  A.    Education:        Bachelor's Degree in business, finance, Supply Chain, or a related healthcare or management field; a Master’s Degree is preferred. B.    Knowledge:   •    Work requires a complete understanding of materials management operations, as well as hospital and health system policies and procedures.  •    Comprehensive knowledge and understanding of supply chain and inventory, distribution, logistics, receiving, materials management, human resource management activities, project management activities, and ERP Supply Chain applications•    Knowledge of supply chain analytics including collection, cleansing, analysis and interpretation of supply chain data for a wide variety of project types and variety of organizational levels (e.g. corporate, warehouse, and entities). •    Experience managing an Integrated Business Plan or S&OP process matching projected demand with supply and the budget required to execute•    Experience in workforce management and demonstrated capability in financial management C.    Skills:        •    Must have advanced interpersonal skills necessary to interact with all levels of hospital management to exchange information, analyze service requirements, solve complex problems, develop and maintain effective working relationships, interact with vendors, including supporting as requested the Department sourcing staff, and lead, as well as participate in, the development of short-term and long-term improvement plans. •    Requires supervisory and management skills necessary to direct operations of several departments, providing effective direction to ensure operations are efficient and customer-focused•    Analytical thinking, problem solving skills, conflict management and decision-making skills to be able to identify problems, make recommendations and decisions, and implement solutions•    Demonstrates experience leading improvement projects, driving operational efficiency and effectiveness, enhancing customer service, increasing quality and minimizing risk•    Demonstrates the ability to build high performing teams and coaching/developing a diverse staff•    Strong process optimization experience to increase process efficiency and effectiveness in inventory and logistics management•    Demonstrates project leadership skills and the ability to develop effective working relationships with internal and external partners and cross-functional working teams•    Advanced Microsoft Office experience (Word, Excel, PowerPoint); MS Access/Project preferred D.    Required Licensure, Certification, Etc.:        None. E.    Work Experience •    Extensive experience managing material/logistic operations in support of patient care, as is generally acquired through at least eight years of progressively more responsible experience in a healthcare materials management setting.   •    Requires a comprehensive understanding and working knowledge of hospital finance, information systems, customer service, performance improvement and regulatory requirements. F.    Machines, Tools, Equipment:        Ability to utilize office equipment, computer equipment and appropriate software tools. SAP preferred.  G.    Budget Responsibility:        Development of and continuous monitoring of budgets specific to each department's functions; responsible and appropriate decision-making exercised in the expenditure of budgeted funds.  H.    Authority/Decision Making Level:        Work requires a high skill level to analyze department operations and develop systems to effect improvements.  Must interact with and direct all levels of staff and ensure that hospital policies and procedures are incorporated into overall departmental goals and daily operations. I.    Supervisory Responsibility: PROBLEM SOLVING:        Must have the ability to facilitate/direct the work of subordinate staff, provide appropriate education and training, and facilitate employee development to attain highest levels of professional proficiency.   •    Applies knowledge and skills to evaluate complex problems and take corrective action quickly and effectively, and with appropriate consideration for both internal and external customers.•    Uses data supplied by managers to make recommendations for improvements or changes to processes. In addition, have the ability to extract and interpret data in the form of reports to address issues at a macro level. •    Interprets complex data and provide actionable recommendations aligned to the Supply Chain vision. •    Participates in setting/ enforcing departmental standards for analysis, development/quality assurance. INFORMATION  MANAGEMENT:        Comprehensive knowledge of information systems to meet the needs of internal and external customers, staff, and management; demonstrated ability to utilize a variety of software tools for the purposes of measurement, analysis, and communications.    WORKING  CONDITIONS:        Works primarily in an office environment; extensive walking may be required for supervision. Possible exposure to hazardous materials and pharmacological agents with little likelihood of harm if established health precautions are followed. Attendance is required during disaster, emergencies and severe weather conditions, including staying for extended hours.  
",Johns Hopkins
